日期,名稱,開盤價,最高價,最低價,收盤價,前一天收盤價,Price_Change,Percentage_Change
2024/10/04,USD_TWD,32.018001556396484,32.312801361083984,30.204999923706055,32.018001556396484,31.812000274658203,0.20600128173828125,0.65
2024/10/07,USD_TWD,32.34000015258789,32.30400085449219,32.141998291015625,32.34000015258789,32.018001556396484,0.32199859619140625,1.01
2024/10/08,USD_TWD,32.12179946899414,32.25699996948242,32.097999572753906,32.12179946899414,32.34000015258789,-0.21820068359375,-0.67
2024/10/09,USD_TWD,32.16999816894531,32.262001037597656,32.03099822998047,32.16999816894531,32.12179946899414,0.048198699951171875,0.15
2024/10/10,USD_TWD,32.227500915527344,32.30400085449219,32.19499969482422,32.227500915527344,32.16999816894531,0.05750274658203125,0.18
2024/10/11,USD_TWD,32.195499420166016,32.25,32.11800003051758,32.195499420166016,32.227500915527344,-0.032001495361328125,-0.1
2024/10/14,USD_TWD,32.130001068115234,32.23400115966797,32.130001068115234,32.130001068115234,32.195499420166016,-0.06549835205078125,-0.2
2024/10/15,USD_TWD,32.152000427246094,32.209999084472656,32.124000549316406,32.152000427246094,32.130001068115234,0.021999359130859375,0.07
2024/10/16,USD_TWD,32.17100143432617,32.224998474121094,32.12480163574219,32.17100143432617,32.152000427246094,0.019001007080078125,0.06
2024/10/17,USD_TWD,32.1349983215332,32.20800018310547,32.09389877319336,32.1349983215332,32.17100143432617,-0.03600311279296875,-0.11
2024/10/18,USD_TWD,32.06800079345703,32.159000396728516,32.00450134277344,32.06800079345703,32.1349983215332,-0.06699752807617188,-0.21
2024/10/21,USD_TWD,32.04199981689453,32.106998443603516,31.836000442504883,32.04199981689453,32.06800079345703,-0.0260009765625,-0.08
2024/10/22,USD_TWD,32.05099868774414,32.11800003051758,32.0098991394043,32.05099868774414,32.04199981689453,0.008998870849609375,0.03
2024/10/23,USD_TWD,32.013999938964844,32.13100051879883,31.957000732421875,32.013999938964844,32.05099868774414,-0.036998748779296875,-0.12
2024/10/24,USD_TWD,32.00400161743164,32.11800003051758,31.996999740600586,32.00400161743164,32.013999938964844,-0.009998321533203125,-0.03
2024/10/25,USD_TWD,31.983800888061523,32.11180114746094,31.964000701904297,31.983800888061523,32.00400161743164,-0.020200729370117188,-0.06
2024/10/28,USD_TWD,32.06380081176758,32.104000091552734,32.05179977416992,32.06380081176758,31.983800888061523,0.07999992370605469,0.25
2024/10/29,USD_TWD,32.01380157470703,32.13100051879883,31.99799919128418,32.01380157470703,32.06380081176758,-0.049999237060546875,-0.16
2024/10/30,USD_TWD,32.00299835205078,32.096900939941406,31.85700035095215,32.00299835205078,32.01380157470703,-0.01080322265625,-0.03
2024/10/31,USD_TWD,31.86549949645996,31.974000930786133,31.861000061035156,31.86549949645996,32.00299835205078,-0.1374988555908203,-0.43
2024/11/01,USD_TWD,31.86280059814453,31.993000030517578,31.79800033569336,31.86280059814453,31.86549949645996,-0.0026988983154296875,-0.01
2024/11/04,USD_TWD,31.922800064086914,31.92799949645996,31.70949935913086,31.922800064086914,31.86280059814453,0.05999946594238281,0.19
2024/11/05,USD_TWD,31.91200065612793,31.996000289916992,31.77199935913086,31.91200065612793,31.922800064086914,-0.010799407958984375,-0.03
2024/11/06,USD_TWD,31.82229995727539,32.367000579833984,31.364999771118164,31.82229995727539,31.91200065612793,-0.08970069885253906,-0.28
2024/11/07,USD_TWD,32.334598541259766,32.355499267578125,32.08300018310547,32.334598541259766,31.82229995727539,0.512298583984375,1.61
2024/11/08,USD_TWD,32.034000396728516,32.21699905395508,31.959800720214844,32.034000396728516,32.334598541259766,-0.30059814453125,-0.93
2024/11/11,USD_TWD,32.23500061035156,32.40700149536133,32.17409896850586,32.23500061035156,32.034000396728516,0.20100021362304688,0.63
2024/11/12,USD_TWD,32.37480163574219,32.49800109863281,32.359798431396484,32.37480163574219,32.23500061035156,0.139801025390625,0.43
2024/11/13,USD_TWD,32.414798736572266,32.50699996948242,32.36800003051758,32.414798736572266,32.37480163574219,0.039997100830078125,0.12
2024/11/14,USD_TWD,32.40800094604492,32.67100143432617,32.40800094604492,32.40800094604492,32.414798736572266,-0.00679779052734375,-0.02
2024/11/15,USD_TWD,32.537200927734375,32.63600158691406,31.832000732421875,32.537200927734375,32.40800094604492,0.12919998168945312,0.4
2024/11/18,USD_TWD,32.46179962158203,32.5629997253418,32.44919967651367,32.46179962158203,32.537200927734375,-0.07540130615234375,-0.23
2024/11/19,USD_TWD,32.442298889160156,32.49399948120117,32.34299850463867,32.442298889160156,32.46179962158203,-0.019500732421875,-0.06
2024/11/20,USD_TWD,32.32550048828125,32.5620002746582,32.310001373291016,32.32550048828125,32.442298889160156,-0.11679840087890625,-0.36
2024/11/21,USD_TWD,32.471500396728516,32.60599899291992,32.45500183105469,32.471500396728516,32.32550048828125,0.14599990844726562,0.45
2024/11/22,USD_TWD,32.50529861450195,32.638999938964844,32.47800064086914,32.50529861450195,32.471500396728516,0.0337982177734375,0.1
2024/11/25,USD_TWD,32.56850051879883,32.56850051879883,32.39789962768555,32.56850051879883,32.50529861450195,0.063201904296875,0.19
2024/11/26,USD_TWD,32.332000732421875,32.54899978637695,32.332000732421875,32.332000732421875,32.56850051879883,-0.23649978637695312,-0.73
2024/11/27,USD_TWD,32.404998779296875,32.573001861572266,32.388999938964844,32.404998779296875,32.332000732421875,0.072998046875,0.23
2024/11/28,USD_TWD,32.414798736572266,32.584999084472656,32.387001037597656,32.414798736572266,32.404998779296875,0.009799957275390625,0.03
